2017-02-08 17:11:10.6686 | DEBUG | Preloaded all referenced assemblies with System.Web.Compilation.BuildManager.GetReferencedAssemblies() | 
2017-02-08 17:11:15.2950 | DEBUG | Discovering IClientScript's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\vs\0ce2b846\256b3c11' and all sub directories. | 
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'Castle.DynamicProxy2, Version=2.0.3.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc' | System.TypeLoadException--Could not load type 'Castle.Core.Interceptor.IInvocation' from assembly 'Castle.Core, Version=3.2.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc'.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'Castle.DynamicProxy2, Version=2.0.3.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc' | System.TypeLoadException--Could not load type 'Castle.Core.Interceptor.IInvocation' from assembly 'Castle.Core, Version=3.2.0.0, Culture=neutral, PublicKeyToken=407dd0808d44fbdc'.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' | System.TypeLoadException--Method 'Run' in type 'NUnit.Util.MultipleTestDomainRunner' from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' does not have an implementation.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' | System.TypeLoadException--Could not load type 'NUnit.Core.ResultVisitor' from assembly 'nunit.core.interfaces, Version=2.6.2.12296, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77'.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' | System.MissingMethodException--Method not found: 'Void NUnit.Core.EventListener.TestFinished(NUnit.Core.TestCaseResult)'.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' | System.TypeLoadException--Could not load type 'NUnit.Core.ResultVisitor' from assembly 'nunit.core.interfaces, Version=2.6.2.12296, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77'.--
2017-02-08 17:11:15.3020 | WARN | Failed to load type when getting types from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' | System.TypeLoadException--Method 'IsAddinRegistered' in type 'NUnit.Util.AddinRegistry' from assembly 'nunit.util, Version=2.4.6.0, Culture=neutral, PublicKeyToken=96d09a1eb7f44a77' does not have an implementation.--
2017-02-08 17:11:15.3461 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Client' and added it to collection. | 
2017-02-08 17:11:15.3461 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Data' and added it to collection. | 
2017-02-08 17:11:15.3461 | DEBUG | Discovered IClientScript of type 'Glimpse.Core.ClientScript.Metadata' and added it to collection. | 
2017-02-08 17:11:15.3461 | DEBUG | Discovering IInspector's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\vs\0ce2b846\256b3c11' and all sub directories. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.AspNet.Inspector.RoutesInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.Core.Inspector.TraceInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.DependencyInjectionInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ExecutionInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ModelBinderInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovered IInspector of type 'Glimpse.Mvc.Inspector.ViewEngineInspector' and added it to collection. | 
2017-02-08 17:11:15.3651 | DEBUG | Discovering IResource's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\vs\0ce2b846\256b3c11' and all sub directories. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.AjaxResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ClientResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationScriptResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.ConfigurationStyleResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.HistoryResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.LogoResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.LogosResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.MetadataResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.PopupRedirectResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.PopupResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.RequestResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.SpriteResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered IResource of type 'Glimpse.Core.Resource.VersionCheckResource' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovering ISerializationConverter's in 'C:\Windows\Microsoft.NET\Framework\v4.0.30319\Temporary ASP.NET Files\vs\0ce2b846\256b3c11' and all sub directories. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ConfigurationModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ConfigurationRoleManagerProviderSettingsModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.EnvironmentModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.ListOfRouteModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.RequestModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.AspNet.SerializationConverter.SessionModelConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.CSharpTypeConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.DateTimeConverter' and added it to collection. | 
2017-02-08 17:11:15.3751 | DEBUG | Discovered ISerializationConverter of type 'Glimpse.Core.SerializationConverter.EnumerableOfITimelineMessageConverter' and added it to collection. | 
